wn,acac,ozone,h2o
406.906497,0,1.09E-03,0.00E+00
407.0270262,0,1.02E-03,0.00E+00
407.1475554,0,9.42E-04,0.00E+00
407.2680845,0,8.69E-04,0.00E+00
407.3886137,0,8.10E-04,0.00E+00
407.5091429,0,7.79E-04,0.00E+00
407.6296721,0,7.90E-04,0.00E+00
407.7502012,0,8.52E-04,0.00E+00
407.8707304,0,9.60E-04,0.00E+00
407.9912596,0,1.11E-03,0.00E+00
408.1117888,0,1.28E-03,0.00E+00
408.2323179,0,1.48E-03,0.00E+00
408.3528471,0,1.68E-03,0.00E+00
408.4733763,0,1.87E-03,0.00E+00
408.5939055,0,2.03E-03,0.00E+00
408.7144346,0,2.14E-03,0.00E+00
408.8349638,0,2.21E-03,0.00E+00
408.955493,0,2.26E-03,0.00E+00
409.0760222,0,2.32E-03,0.00E+00
409.1965513,0,2.41E-03,0.00E+00
409.3170805,0,2.52E-03,0.00E+00
409.4376097,0,2.66E-03,0.00E+00
409.5581389,0,2.80E-03,0.00E+00
409.6786681,0,2.94E-03,0.00E+00
409.7991972,0,3.05E-03,0.00E+00
409.9197264,0,3.10E-03,0.00E+00
410.0402556,0,3.03E-03,0.00E+00
410.1607848,0,2.81E-03,0.00E+00
410.2813139,0,2.46E-03,0.00E+00
410.4018431,0,2.02E-03,0.00E+00
410.5223723,0,1.60E-03,0.00E+00
410.6429015,0,1.25E-03,0.00E+00
410.7634306,0,1.00E-03,0.00E+00
410.8839598,0,8.52E-04,0.00E+00
411.004489,0,7.63E-04,0.00E+00
411.1250182,0,6.98E-04,0.00E+00
411.2455473,0,6.24E-04,0.00E+00
411.3660765,0,5.23E-04,0.00E+00
411.4866057,0,4.01E-04,0.00E+00
411.6071349,0,2.87E-04,0.00E+00
411.727664,0,2.11E-04,0.00E+00
411.8481932,0,1.86E-04,0.00E+00
411.9687224,0,2.15E-04,0.00E+00
412.0892516,0,2.94E-04,0.00E+00
412.2097807,0,4.14E-04,0.00E+00
412.3303099,0,5.62E-04,0.00E+00
412.4508391,0,7.24E-04,0.00E+00
412.5713683,0,8.83E-04,0.00E+00
412.6918974,0,1.02E-03,0.00E+00
412.8124266,0,1.13E-03,0.00E+00
412.9329558,0,1.22E-03,0.00E+00
413.053485,0,1.28E-03,0.00E+00
413.1740141,0,1.32E-03,0.00E+00
413.2945433,0,1.36E-03,0.00E+00
413.4150725,0,1.41E-03,0.00E+00
413.5356017,0,1.46E-03,0.00E+00
413.6561308,0,1.53E-03,0.00E+00
413.77666,0,1.63E-03,0.00E+00
413.8971892,0,1.76E-03,0.00E+00
414.0177184,0,1.89E-03,0.00E+00
414.1382476,0,1.98E-03,0.00E+00
414.2587767,0,2.02E-03,0.00E+00
414.3793059,0,1.98E-03,0.00E+00
414.4998351,0,1.87E-03,0.00E+00
414.6203643,0,1.75E-03,0.00E+00
414.7408934,0,1.61E-03,0.00E+00
414.8614226,0,1.49E-03,0.00E+00
414.9819518,0,1.39E-03,0.00E+00
415.102481,0,1.31E-03,0.00E+00
415.2230101,0,1.25E-03,0.00E+00
415.3435393,0,1.21E-03,0.00E+00
415.4640685,0,1.19E-03,0.00E+00
415.5845977,0,1.19E-03,0.00E+00
415.7051268,0,1.18E-03,0.00E+00
415.825656,0,1.17E-03,0.00E+00
415.9461852,0,1.12E-03,0.00E+00
416.0667144,0,1.05E-03,0.00E+00
416.1872435,0,9.51E-04,0.00E+00
416.3077727,0,8.38E-04,0.00E+00
416.4283019,0,7.40E-04,0.00E+00
416.5488311,0,6.80E-04,0.00E+00
416.6693602,0,6.79E-04,0.00E+00
416.7898894,0,7.41E-04,0.00E+00
416.9104186,0,8.62E-04,0.00E+00
417.0309478,0,1.02E-03,0.00E+00
417.1514769,0,1.20E-03,0.00E+00
417.2720061,0,1.36E-03,0.00E+00
417.3925353,0,1.48E-03,0.00E+00
417.5130645,0,1.55E-03,0.00E+00
417.6335936,0,1.59E-03,0.00E+00
417.7541228,0,1.59E-03,0.00E+00
